track,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,labels,track_genre
Easily,-0.009608879,1.513138403,-0.820909752,0.336029839,-0.213080885,0.183006087,-0.726510945,-0.172082499,-0.110657509,0.011231273,0,pop
Easy Lover,1.496440082,1.372878091,0.508296495,-0.214512721,-0.470486182,-0.838731677,-0.736976499,-0.674744389,2.182618466,0.369520099,1,dance
Eden - Hunted Version,0.750477253,-2.231202083,-1.300084103,-0.831897398,-0.407304882,1.326310383,-0.480121904,-0.682911716,-1.370372253,-1.704270817,0,pop
Edge of Seventeen,1.898634686,0.403252461,0.895356553,0.609310334,-0.311362907,-0.333169271,-0.741746873,-0.596783534,0.996304424,-0.259186879,1,rock
Eidolon,0.748128695,0.177616308,-0.868917201,-0.988385169,-0.627269408,1.077870842,1.615480681,-0.549264537,-0.876405369,0.37245748,3,metal
Electronic Memories (feat. Mickey Kojak),0.423452492,0.476431754,1.189402179,1.171556297,0.760379147,-0.762028983,-0.629878997,0.548127299,0.750312883,-0.665369343,2,electro
Emotions in Motion,0.735954535,0.7752472,-0.079794756,0.051166595,-0.582808493,-0.521307952,0.862957517,-0.661379671,0.686831195,0.517822013,0,rock
Empty Street at Night,1.53628569,-1.90799354,-1.544922093,-1.403674998,-0.271582089,1.176764252,1.588070897,1.298036469,-1.262453384,1.838031442,3,other
Enemy,-0.438420477,0.293483521,1.381431975,1.126673143,0.205787735,-1.000866216,-0.741025672,-0.365128424,0.048046711,-0.41827113,2,other
Escaping Time,-0.167681232,-1.243281629,-0.820909752,-0.802337256,-0.297322618,0.54239921,1.406169603,-0.409677484,-0.769280021,-0.128151033,3,other
Essential Attitudes,0.114161742,-0.487095603,-0.09779755,-0.153341325,-0.442405604,0.081700643,1.057317805,-0.639847625,-0.535191297,-0.698361145,3,other
Event Horizon,1.594855859,-0.365130115,-0.448852021,0.395512084,-0.685770612,-0.840902508,1.495874351,-0.394827797,-1.305700284,-0.665655916,3,pop
Every Kinda People,-0.1859904,0.653281711,0.052225729,-0.156357666,-0.496226711,-0.403118268,-0.741464228,-0.852940627,2.289743814,-0.861708181,1,rock
Every Way,-0.713042033,2.165653764,1.135393799,0.833484797,1.609816627,-0.955474141,-0.741754224,1.053016641,1.484319899,0.159318256,2,pop
Everybody Hurts,1.694134371,-1.475016057,-0.160807327,0.579870846,-0.697470853,0.368732734,-0.695662479,-0.075559536,-0.789118049,2.472254964,0,rock
